,ID,time,PARA1,PARA2,CH,RISE,COUN,ENER,DURATION,AMP,A-FRQ,RMS,PCNTS,I-FRQ,ABS-ENERGY,FRQ-C,P-FRQ,Cum Count,Cum Energy,NCC,NCE,Image Index,Size,FCDN Size
7917,1,7526.492695,8.5421,0.0341,2,2,1,0,3,44,333,0.0014,1,500,311.589,511,156,20043,8073974.274,1,1.000000034,,0.001,0.005
7918,1,7526.492698,8.5421,0.0341,1,0,1,0,0,42,0,0.0014,1,1000,393.76,566,29,20044,8074368.034,1.000049893,1.000048803,,0.001,0.005
7919,1,7526.501968,8.9663,0.0369,1,5,2,0,6,45,333,0.0014,2,400,602.266,466,34,20046,8074970.3,1.000149678,1.000123396,,0.001,0.005
7920,1,7526.501968,8.9663,0.0369,2,5,2,0,6,46,333,0.0014,2,400,520.384,466,141,20048,8075490.684,1.000249464,1.000187849,,0.001,0.005
7926,1,7528.306848,9.0274,0.038,2,0,1,0,0,42,0,0.0014,1,1000,224.512,613,29,20075,8082063.411,1.001596567,1.001001912,,0.003,0.005
7927,1,7528.317036,9.0213,0.039,2,0,1,0,0,40,0,0.0014,1,1000,342.454,540,34,20076,8082405.865,1.00164646,1.001044326,,0.003,0.005
7928,1,7530.304057,8.9877,0.0377,2,4,2,0,5,48,400,0.0014,2,500,573.266,443,141,20078,8082979.131,1.001746246,1.001115328,,0.005,0.005
7929,1,7530.304059,8.9877,0.0377,1,3,1,0,4,45,250,0.0014,1,333,459.728,494,161,20079,8083438.859,1.001796138,1.001172268,,0.005,0.005
7933,1,7531.110781,9.0304,0.0388,2,0,1,0,1,44,1000,0.0014,1,1000,350.425,576,34,20090,8086584.149,1.002344958,1.001561827,,0.006,0.005
7934,1,7531.110782,9.0304,0.0388,1,0,1,0,0,40,0,0.0016,1,1000,423.466,618,34,20091,8087007.615,1.002394851,1.001614275,,0.006,0.005
7955,1,7536.720622,8.8687,0.0388,2,5,2,0,49,51,41,0.0014,2,400,1062,381,156,20132,8100802.784,1.004440453,1.003322872,,0.012,0.014
7956,1,7536.720623,8.8687,0.0388,1,5,2,0,6,49,333,0.0016,2,400,762.204,442,156,20134,8101564.988,1.004540238,1.003417275,,0.012,0.014
7958,1,7537.7049,9.0121,0.0378,2,2,1,0,2,40,500,0.0014,1,500,228.648,562,39,20136,8101997.597,1.004640024,1.003470855,,0.013,0.018
7959,1,7538.492041,8.4719,0.034,2,0,1,0,3,44,333,0.0014,1,1000,275.371,494,126,20137,8102272.968,1.004689917,1.003504961,,0.014,0.018
7960,1,7539.510009,9.0213,0.0386,2,0,1,0,0,40,0,0.0014,1,1000,213.18,564,34,20138,8102486.148,1.004739809,1.003531365,,0.015,0.02
7961,1,7539.517287,8.9877,0.039,1,0,1,0,0,40,0,0.0016,1,1000,188.855,596,63,20139,8102675.003,1.004789702,1.003554755,,0.015,0.02
7972,1,7543.182943,2.2309,0.0121,1,6,1,0,6,40,167,0.0016,1,166,298.297,511,63,20157,8107892.641,1.005687771,1.004200985,,0.019,0.024
7978,1,7544.105992,9.0121,0.0379,2,0,1,0,2,40,500,0.0014,1,1000,231.47,517,34,20193,8129724.594,1.00748391,1.006904976,,0.02,0.024
7979,1,7544.909006,9.0304,0.0385,2,0,1,0,4,47,250,0.0014,1,1000,355.545,488,107,20194,8130080.139,1.007533802,1.006949012,,0.021,0.024
7980,1,7544.909007,9.0304,0.0385,1,0,1,0,1,41,1000,0.0014,1,1000,258.927,526,29,20195,8130339.066,1.007583695,1.006981081,,0.021,0.024
7983,1,7547.714371,9.0304,0.039,2,3,1,0,4,47,250,0.0014,1,333,499.081,450,141,20198,8131549.565,1.007733373,1.007131007,,0.024,0.029
7984,1,7547.714371,9.0304,0.039,1,3,1,0,3,44,333,0.0016,1,333,351.629,534,161,20199,8131901.194,1.007783266,1.007174558,,0.024,0.029
7989,1,7548.502627,8.945,0.0373,1,0,1,0,0,41,0,0.0016,1,1000,393.595,575,29,20206,8134060.286,1.008132515,1.007441972,,0.025,0.029
7997,1,7552.188264,1.7792,0.0095,1,1,3,0,51,47,59,0.0016,1,1000,1082,320,68,20232,8142877.715,1.009429726,1.008534052,,0.029,0.029
7998,1,7552.188292,1.7823,0.0095,2,0,1,0,8,42,125,0.0014,1,1000,417.96,445,73,20233,8143295.675,1.009479619,1.008585818,,0.029,0.029
7999,1,7552.199032,1.2268,0.0057,1,19,1,0,19,40,53,0.0016,1,52,320.357,482,68,20234,8143616.032,1.009529512,1.008625496,,0.029,0.029
8004,1,7553.126554,8.475,0.0386,2,4,2,0,5,45,400,0.0014,2,500,380.332,489,141,20240,8145405.504,1.009828868,1.008847131,,0.03,0.029
8005,1,7553.126555,8.475,0.0386,1,0,1,0,0,40,0,0.0016,1,1000,331.449,580,29,20241,8145736.953,1.009878761,1.008888182,,0.03,0.029
8557,1,7840.255465,1.2024,0.003,1,1,1,0,1,40,1000,0.001,1,1000,736.253,541,19,21081,8707975.1,1.051788654,1.078524045,,0.038,0.042
8558,1,7840.272939,1.9166,0.0053,2,0,1,14,0,40,0,0.0012,1,1000,226.533,521,43,21082,8708201.633,1.051838547,1.078552102,,0.038,0.042
8559,1,7840.288175,2.8474,0.0095,2,34,2,0,35,41,57,0.0012,2,58,747.847,388,39,21084,8708949.48,1.051938333,1.078644727,,0.038,0.042
8560,1,7840.289527,2.9359,0.0097,1,13,5,0,92,43,54,0.001,3,230,836.214,389,151,21089,8709785.694,1.052187796,1.078748296,,0.038,0.042
8561,1,7840.290211,2.9939,0.0097,2,11,5,0,47,47,106,0.0012,2,181,881.806,353,180,21094,8710667.5,1.05243726,1.078857512,,0.038,0.042
8562,1,7840.292374,3.1343,0.0105,2,17,5,0,50,46,100,0.0012,3,176,944.43,360,156,21099,8711611.93,1.052686724,1.078974484,,0.038,0.042
8563,1,7840.292397,3.1404,0.0105,1,0,1,0,3,41,333,0.001,1,1000,458.449,470,156,21100,8712070.379,1.052736616,1.079031265,,0.038,0.042
8564,1,7840.295699,3.3723,0.0114,2,0,1,0,1,42,1000,0.0012,1,1000,335.399,483,156,21101,8712405.778,1.052786509,1.079072806,,0.038,0.042
8565,1,7840.299103,3.6073,0.0126,2,13,3,0,32,46,94,0.0012,2,153,587.483,378,161,21104,8712993.261,1.052936187,1.079145568,1104161438,0.038,0.042
8566,1,7840.300793,3.7477,0.013,2,0,1,0,1,42,1000,0.0012,1,1000,306.5,492,68,21105,8713299.761,1.05298608,1.07918353,,0.038,0.042
8567,1,7840.302523,3.8392,0.0137,2,0,1,0,0,40,0,0.0012,1,1000,408.208,511,39,21106,8713707.969,1.053035973,1.079234088,,0.038,0.042
8568,1,7840.309176,4.2879,0.0153,2,16,4,0,38,46,105,0.0012,2,125,692.43,368,151,21110,8714400.399,1.053235544,1.079319849,,0.038,0.042
8569,1,7840.3109,4.3886,0.0165,2,0,1,0,10,41,100,0.0012,1,1000,355.441,455,34,21111,8714755.84,1.053285436,1.079363872,,0.038,0.042
8570,1,7840.313247,4.5289,0.0169,2,0,1,0,1,42,1000,0.0012,1,1000,296.423,489,63,21112,8715052.263,1.053335329,1.079400586,,0.038,0.042
8571,1,7840.32319,5.0233,0.0198,2,21,5,0,45,45,111,0.0012,2,95,800.33,356,161,21117,8715852.593,1.053584793,1.07949971,,0.038,0.042
8572,1,7840.323212,5.0233,0.0198,1,2,1,0,3,42,333,0.001,1,500,456.514,467,156,21118,8716309.107,1.053634685,1.079556252,,0.038,0.042
8573,1,7840.337723,5.3926,0.0224,2,19,17,3,193,59,88,0.0012,5,263,9752,221,156,21135,8726061.107,1.054482862,1.080764083,,0.038,0.042
8574,1,7840.337733,5.3865,0.0225,1,30,14,1,125,52,112,0.001,5,166,3673,266,156,21149,8729734.107,1.05518136,1.081219002,,0.038,0.042
8608,1,7842.905256,8.4414,0.0337,2,0,1,0,0,41,0,0.0014,1,1000,274.697,613,34,21390,8808174.731,1.067205508,1.090934245,,0.041,0.042
8611,1,7844.719202,8.9908,0.0378,1,7,6,0,43,54,140,0.0014,2,285,1911,381,161,21399,8810923.119,1.067654543,1.091274646,,0.043,0.042
8612,1,7844.719204,8.9908,0.0378,2,5,8,1,79,56,101,0.0014,2,400,2759,346,141,21407,8813682.119,1.068053685,1.091616361,,0.043,0.042
8613,1,7844.803952,1.6785,0.0089,1,18,3,0,47,43,64,0.0014,2,111,646.333,376,68,21410,8814328.452,1.068203363,1.091696413,,0.043,0.042
8638,1,7855.957124,6.8789,0.0332,2,0,1,0,0,40,0,0.0014,1,1000,304.986,574,34,21439,8823420.434,1.069650252,1.092822498,,0.05,0.059
8646,1,7856.929323,9.0182,0.0392,2,3,1,0,4,47,250,0.0014,1,333,440.439,438,29,21457,8829912.33,1.070548321,1.09362655,,0.051,0.062
8647,1,7856.929324,9.0182,0.0392,1,3,1,0,3,43,333,0.0014,1,333,332.805,465,34,21458,8830245.135,1.070598214,1.093667769,,0.051,0.062
8654,1,7861.32812,9.0304,0.0392,1,0,1,0,1,43,1000,0.0014,1,1000,475.962,495,29,21541,9149203.784,1.07473931,1.133172312,,0.056,0.067
8655,1,7862.124147,9.0243,0.0388,1,0,1,0,0,41,0,0.0014,1,1000,355.837,610,34,21542,9149559.621,1.074789203,1.133216384,,0.057,0.068
