training;batch size;LSTM strcuture;Keep_Prob;acc_cross;loss_cross;acctest;time
200;5;16;0.4;0.17560894787311554;0.19007612764835358;0.16789691150188446;51.83091139793396 
200;5;16;0.5;0.16801416873931885;0.16624532639980316;0.14538098871707916;50.89574456214905 
200;5;16;0.6;0.21369408071041107;0.2378070056438446;0.2171017825603485;51.12207508087158 
200;5;16;0.7;0.14058370888233185;0.21371082961559296;0.1738707572221756;50.948556900024414 
200;5;32;0.4;0.1455996334552765;0.14454323053359985;0.15924885869026184;50.981698989868164 
200;5;32;0.5;0.13260583579540253;0.16546009480953217;0.15310698747634888;50.992918729782104 
200;5;32;0.6;0.20047706365585327;0.2316962629556656;0.20628538727760315;51.217976093292236 
200;5;32;0.7;0.14839406311511993;0.19689352810382843;0.15577758848667145;51.02469825744629 
200;5;64;0.4;0.1650972068309784;0.1727057248353958;0.15328381955623627;51.862804651260376 
200;5;64;0.5;0.14807265996932983;0.13172392547130585;0.12320607155561447;51.394983768463135 
